hour_coded;immobilized_bus;broken_truck;vehicle_excess;accident_victim;running_over;fire_vehicles;occurrence_involving_freight;incident_involving_dangerous_freight;lack_of_electricity;fire;point_of_flooding;manifestations;defect_in_the_network_of_trolleybuses;tree_on_the_road;semaphore_off;intermittent_semaphore;slowness_in_traffic;hour_decoded;day
8;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;10.3;11;5
6;2;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0;9.0;10;5
11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.7;12;3
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.1;17;2
25;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;17.7;19;5
27;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7.4;-1;1
12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.9;13;4
14;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7.8;14;2
12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.4;13;2
18;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10.5;16;4
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.5;12;2
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5.7;8;4
19;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;12.2;16;3
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.6;8;1
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.6;10;4
2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.8;8;3
1;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;4.0;7;4
27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.0;-1;2
27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.3;-1;3
19;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9.3;16;2
11;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.9;12;5
16;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.3;15;2
8;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6.5;11;3
22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.1;18;2
20;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;13.0;17;5
11;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7.7;12;4
24;0;1;0;0;0;0;0;0;2;0;3;0;0;0;1;0;20.2;19;3
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.2;11;1
20;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11.1;17;4
15;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6.8;14;3
5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10.3;9;2
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.4;12;1
9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.6;11;1
9;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6.7;11;3
3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5.3;8;3
17;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9.2;15;3
