hour_coded;immobilized_bus;broken_truck;vehicle_excess;accident_victim;running_over;fire_vehicles;occurrence_involving_freight;incident_involving_dangerous_freight;lack_of_electricity;fire;point_of_flooding;manifestations;defect_in_the_network_of_trolleybuses;tree_on_the_road;semaphore_off;intermittent_semaphore;slowness_in_traffic;hour_decoded;day
12;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10.3;12;5
13;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11.0;13;5
14;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9.7;13;5
15;1;2;0;1;0;0;0;0;0;0;0;0;1;0;1;0;10.3;14;5
16;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;10.9;14;5
17;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8.9;15;5
18;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;9.4;15;5
19;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;11.3;16;5
20;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;13.0;16;5
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.6;17;5
22;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;17.4;17;5
23;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;17.8;18;5
24;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;18.1;18;5
25;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;17.7;19;5
26;0;4;0;0;0;0;0;0;0;0;0;1;0;0;1;0;17.4;19;5
27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.1;20;5
